TransactionID,CustomerID,Product,Price,Quantity,PaymentType,City,Country,TransactionDate,DiscountApplied,Rating,Browser,SessionDuration,CouponCode,ReturnStatus,Warehouse,ReviewText,Category_Electronics,Category_Fashion,Device_Mobile,Device_Tablet,ShippingType_Standard,TotalSpend,Engagement,AvgSpend,SpendPerTime,Cluster
735,1288,Dress,59580,2,3,Hyderabad,India,,Yes,2.9258962273160525,0,179,OFF20,,WH1,Good,True,False,True,False,False,119160,523.7354246895734,39720.0,662.0,0
3568,1600,Headphones,73051,3,3,Hyderabad,India,2023-04-05,N,2.3752022870710627,2,383,OFF20,Returned,WH1,Good,True,False,False,True,True,219153,909.702475948217,54788.25,570.7109375,0
2647,1750,Laptop,41671,1,1,Hyderabad,IND,2023-04-05,No,4.847436823818574,2,257,YIrSES,Not Returned,WH2,Good,False,True,False,True,False,41671,1245.7912637213735,20835.5,161.515503875969,0
3636,1744,Mobile,77354,3,1,Hyderabad,IND,2023-04-05,No,1.3045748466354865,2,373,YIrSES,Not Returned,WH2,Bad,False,True,True,False,True,232062,486.60641779503646,58015.5,620.4866310160428,0
2323,1246,Dress,13351,1,1,Delhi,IN,,No,4.199372039926931,1,298,OFF20,Not Returned,WH2,Bad,False,False,True,False,True,13351,1251.4128678982256,6675.5,44.65217391304348,0
2542,1306,Dress,18122,3,0,Hyderabad,India,,Y,4.80189504987594,1,404,OFF20,Not Returned,WH3,Bad,True,False,False,False,True,54366,1939.9656001498797,13591.5,134.23703703703703,0
4791,1080,Dress,50397,1,2,Hyderabad,India,,N,4.007174366065654,2,494,OFF20,Not Returned,WH3,Good,True,False,False,False,True,50397,1979.5441368364332,25198.5,101.81212121212121,0
1634,1980,Headphones,94710,1,2,Hyderabad,India,,No,3.2933200523762705,2,349,OFF20,Not Returned,WH1,Good,True,False,False,False,False,94710,1149.3686982793183,47355.0,270.6,0
1573,1057,Headphones,92212,3,2,Hyderabad,India,2023-04-05,Y,2.7581519257939795,2,499,OFF20,Returned,WH2,Good,False,False,False,False,True,276636,1376.3178109711957,69159.0,553.272,0
4215,1814,Dress,64221,3,2,Delhi,India,2023-04-05,No,4.999242419025714,1,99,OFF20,Returned,WH3,Average,False,False,False,False,True,192663,494.9249994835457,48165.75,1926.63,0
3130,1437,Laptop,43766,3,2,Delhi,India,,Y,3.2410118421072247,1,230,YIrSES,Returned,WH3,Good,False,True,False,False,True,131298,745.4327236846617,32824.5,568.3896103896104,0
4210,1913,Laptop,67793,2,2,Chennai,India,2023-04-05,Yes,4.455871234513988,2,76,SAVE10,Returned,WH2,Good,True,False,True,False,False,135586,338.6462138230631,45195.333333333336,1760.857142857143,0
1202,1382,Dress,74883,1,0,Delhi,India,2023-04-05,No,1.4042846168735834,2,297,OFF20,Not Returned,WH1,Bad,True,False,False,True,True,74883,417.07253121145425,37441.5,251.28523489932886,0
2642,1911,Laptop,73286,1,2,Hyderabad,IN,,N,4.882793799921704,0,186,SAVE10,Not Returned,WH2,Good,True,False,True,False,True,73286,908.199646785437,36643.0,391.903743315508,0
1045,1681,Shoes,78721,2,3,Hyderabad,IN,2023-04-05,Y,3.5201294640033525,1,287,YIrSES,Not Returned,WH2,Average,True,False,False,True,False,157442,1010.2771561689622,52480.666666666664,546.6736111111111,0
4135,1872,Headphones,94213,1,2,Hyderabad,IND,,Y,3.4446822067046106,0,196,YIrSES,Returned,WH2,Average,False,True,False,True,False,94213,675.1577125141037,47106.5,478.23857868020303,0
3856,1323,Mobile,40526,4,2,Delhi,IN,,N,2.6013974588217152,2,449,YIrSES,Returned,WH3,Average,False,True,False,True,False,162104,1168.0274590109502,32420.8,360.2311111111111,0
1025,1975,Headphones,86960,3,0,Mumbai,IND,2023-04-05,No,1.547089717574937,1,400,YIrSES,Returned,WH2,Average,False,False,False,True,False,260880,618.8358870299747,65220.0,650.573566084788,0
985,1505,Dress,38359,1,3,Mumbai,IND,2023-04-05,No,2.216770515832263,1,268,SAVE10,Returned,WH1,Good,False,True,False,True,True,38359,594.0944982430465,19179.5,142.59851301115242,0
3343,1031,Dress,95612,2,2,Hyderabad,IND,2023-04-05,Y,2.034077176006158,1,292,SAVE10,Returned,WH2,Good,False,True,False,False,True,191224,593.9505353937982,63741.333333333336,652.641638225256,0
