INFO:     Will watch for changes in these directories: ['/home/gopal/takeitsmart/week13/ai-software']
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [325306] using StatReload
/home/gopal/takeitsmart/week13/ai-software/tools/vector_store.py:6: LangChainDeprecationWarning: The class `HuggingFaceEmbeddings` was deprecated in LangChain 0.2.2 and will be removed in 1.0. An updated version of the class exists in the `langchain-huggingface package and should be used instead. To use it run `pip install -U `langchain-huggingface` and import as `from `langchain_huggingface import HuggingFaceEmbeddings``.
  self.embeddings = HuggingFaceEmbeddings(
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 11126.05it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
INFO:     Started server process [325311]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:46006 - "OPTIONS /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "POST /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "GET /api/projects/8/stream/requirements HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:46020 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects/8/stream/architecture HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects/8/stream/backend_code HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55656 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:33894 - "GET /api/projects/8/stream/review HTTP/1.1" 200 OK
INFO:     127.0.0.1:33894 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:33894 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:46690 - "GET /api/projects/8/stream/frontend_code HTTP/1.1" 200 OK
INFO:     127.0.0.1:46690 - "GET /api/projects/8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:46690 - "GET /api/projects HTTP/1.1" 200 OK
